Sources,Datasets,Feature Types,Data Types,Dimensions,Count
TCGA,GBM,Clinical,SAMP,percent_necrosis,123
TCGA,GBM,Clinical,SAMP,sampleType,123
TCGA,GBM,Clinical,SAMP,p53_pathway_1,123
TCGA,LUAD,Clinical,SAMP,percent_necrosis,123
TCGA,LUAD,Clinical,SAMP,sampleType,123
TCGA,LUAD,Clinical,SAMP,p53_pathway_1,123
TCGA,UCEC,Clinical,SAMP,percent_necrosis,123
TCGA,UCEC,Clinical,SAMP,sampleType,123
TCGA,UCEC,Clinical,SAMP,p53_pathway_1,123
TCGA,HNSC,Clinical,SAMP,percent_necrosis,123
TCGA,HNSC,Clinical,SAMP,sampleType,123
TCGA,HNSC,Clinical,SAMP,p53_pathway_1,123
TCGA,BLCA,Clinical,SAMP,percent_necrosis,123
TCGA,BLCA,Clinical,SAMP,sampleType,123
TCGA,BLCA,Clinical,SAMP,p53_pathway_1,123
TCGA,LUSC,Clinical,SAMP,percent_necrosis,123
TCGA,LUSC,Clinical,SAMP,sampleType,123
TCGA,LUSC,Clinical,SAMP,p53_pathway_1,123
TCGA,OV,Clinical,SAMP,percent_necrosis,123
TCGA,OV,Clinical,SAMP,sampleType,123
TCGA,OV,Clinical,SAMP,p53_pathway_1,123
TCGA,COAD,Clinical,SAMP,percent_necrosis,123
TCGA,COAD,Clinical,SAMP,tumor_necrosis_percent,123
TCGA,COAD,Clinical,SAMP,sampleType,123
TCGA,COAD,Clinical,SAMP,p53_pathway_1,123
TCGA,COAD,Clinical,SAMP,TNtype,123
TCGA,READ,Clinical,SAMP,percent_necrosis,123
TCGA,READ,Clinical,SAMP,tumor_necrosis_percent,123
TCGA,READ,Clinical,SAMP,sampleType,123
TCGA,READ,Clinical,SAMP,p53_pathway_1,123
TCGA,READ,Clinical,SAMP,TNtype,123
TCGA,BRCA,Clinical,SAMP,percent_necrosis,123
TCGA,BRCA,Clinical,SAMP,sampleType,123
TCGA,BRCA,Clinical,SAMP,p53_pathway_1,123
TCGA,BRCA,Clinical,SAMP,TNtype,123
TCGA,KIRC,Clinical,SAMP,tumor_necrosis_percent,123
TCGA,KIRC,Clinical,SAMP,sampleType,123
TCGA,KIRC,Clinical,SAMP,percent_necrosis,123
TCGA,KIRC,Clinical,SAMP,p53_pathway_1,123
TCGA,KIRC,Clinical,SAMP,TNtype,123
TCGA,GBM,Molecular,METH,TP53,33
TCGA,GBM,Molecular,RPPA,TP53,33
TCGA,GBM,Molecular,GEXP,TP53,33
TCGA,GBM,Molecular,GEXP,TP53,33
TCGA,GBM,Molecular,GNAB,TP53,33
TCGA,GBM,Molecular,RPPA,RAD51,33
TCGA,GBM,Molecular,GEXP,RAD51,33
TCGA,GBM,Molecular,GEXP,RAD51,33
TCGA,GBM,Molecular,METH,AKT1,33
TCGA,GBM,Molecular,RPPA,AKT1,33
TCGA,GBM,Molecular,RPPA,AKT1,33
TCGA,GBM,Molecular,RPPA,AKT1,33
TCGA,GBM,Molecular,GEXP,AKT1,33
TCGA,GBM,Molecular,GEXP,AKT1,33
TCGA,GBM,Molecular,GNAB,AKT1,33
TCGA,GBM,Molecular,METH,KRAS,33
TCGA,GBM,Molecular,METH,KRAS,33
TCGA,GBM,Molecular,METH,KRAS,33
TCGA,GBM,Molecular,RPPA,KRAS,33
TCGA,GBM,Molecular,GEXP,KRAS,33
TCGA,GBM,Molecular,GEXP,KRAS,33
TCGA,GBM,Molecular,GNAB,KRAS,33
TCGA,LUAD,Molecular,METH,TP53,33
TCGA,LUAD,Molecular,METH,TP53,33
TCGA,LUAD,Molecular,RPPA,TP53,33
TCGA,LUAD,Molecular,GEXP,TP53,33
TCGA,LUAD,Molecular,GEXP,TP53,33
TCGA,LUAD,Molecular,GNAB,TP53,33
TCGA,LUAD,Molecular,GEXP,RAD51,33
TCGA,LUAD,Molecular,GEXP,RAD51,33
TCGA,LUAD,Molecular,RPPA,AKT1,33
TCGA,LUAD,Molecular,RPPA,AKT1,33
TCGA,LUAD,Molecular,RPPA,AKT1,33
TCGA,LUAD,Molecular,GEXP,AKT1,33
TCGA,LUAD,Molecular,GEXP,AKT1,33
TCGA,LUAD,Molecular,GNAB,AKT1,33
TCGA,LUAD,Molecular,METH,KRAS,33
TCGA,LUAD,Molecular,METH,KRAS,33
TCGA,LUAD,Molecular,METH,KRAS,33
TCGA,LUAD,Molecular,METH,KRAS,33
TCGA,LUAD,Molecular,RPPA,KRAS,33
TCGA,LUAD,Molecular,GEXP,KRAS,33
TCGA,LUAD,Molecular,GEXP,KRAS,33
TCGA,LUAD,Molecular,GNAB,KRAS,33
TCGA,UCEC,Molecular,METH,TP53,33
TCGA,UCEC,Molecular,RPPA,TP53,33
TCGA,UCEC,Molecular,GEXP,TP53,33
TCGA,UCEC,Molecular,GEXP,TP53,33
TCGA,UCEC,Molecular,GNAB,TP53,33
TCGA,UCEC,Molecular,RPPA,RAD51,33
TCGA,UCEC,Molecular,GEXP,RAD51,33
TCGA,UCEC,Molecular,GEXP,RAD51,33
TCGA,UCEC,Molecular,METH,AKT1,33
TCGA,UCEC,Molecular,RPPA,AKT1,33
